"","dyad_name","gender","GES_score","age","language","parent","experience","regular_contact","ID","id_in_group","stim_category","stim_number","time","soundLevel","startSound","RT","RT_from_onset","position","response"
"42","ETHICAL RUBY WEASEL","Male",2.32,24,"Danish","No","No","No","1 ETHICAL RUBY WEASEL",1,"Cries",4,18:12:51,4,48057,0,0,"Left","none"
"43","ETHICAL RUBY WEASEL","Male",2.32,24,"Danish","No","No","No","1 ETHICAL RUBY WEASEL",1,"Alarm",3,18:14:37,4,48056,0,0,"Left","none"
"44","ETHICAL RUBY WEASEL","Female",2.36,23,"Danish","No","No","No","2 ETHICAL RUBY WEASEL",2,"Alarm",4,17:55:09,4,48048,0,0,"Right","none"
"45","ETHICAL RUBY WEASEL","Female",2.36,23,"Danish","No","No","No","2 ETHICAL RUBY WEASEL",2,"Alarm",1,17:58:17,4,48058,0,0,"Right","none"
"46","ETHICAL RUBY WEASEL","Female",2.36,23,"Danish","No","No","No","2 ETHICAL RUBY WEASEL",2,"Cries",1,18:00:33,4,48057,0,0,"Right","none"
"47","ETHICAL RUBY WEASEL","Female",2.36,23,"Danish","No","No","No","2 ETHICAL RUBY WEASEL",2,"Alarm",2,18:05:19,4,48057,0,0,"Right","none"
"48","ETHICAL RUBY WEASEL","Female",2.36,23,"Danish","No","No","No","2 ETHICAL RUBY WEASEL",2,"Cries",2,18:07:55,4,48056,0,0,"Right","none"
"49","ETHICAL RUBY WEASEL","Female",2.36,23,"Danish","No","No","No","2 ETHICAL RUBY WEASEL",2,"Cries",3,18:09:39,4,48058,0,0,"Right","none"
"50","ETHICAL RUBY WEASEL","Female",2.36,23,"Danish","No","No","No","2 ETHICAL RUBY WEASEL",2,"Cries",4,18:12:51,4,48057,0,0,"Right","none"
"51","ETHICAL RUBY WEASEL","Female",2.36,23,"Danish","No","No","No","2 ETHICAL RUBY WEASEL",2,"Alarm",3,18:14:37,4,48056,0,0,"Right","none"
"52","GENIAL MELON WILD DOG","Female",2.48,20,"Other","No","No","Yes","1 GENIAL MELON WILD DOG",1,"Alarm",3,16:44:50,4,48058,0,0,"Left","none"
"53","GENIAL MELON WILD DOG","Female",2.48,20,"Other","No","No","Yes","1 GENIAL MELON WILD DOG",1,"Cries",4,16:49:28,2,24038,31826,7788,"Left","Left"
"54","GENIAL MELON WILD DOG","Female",2.48,20,"Other","No","No","Yes","1 GENIAL MELON WILD DOG",1,"Cries",2,16:52:03,3,36047,40866,4819,"Left","Left"
"55","GENIAL MELON WILD DOG","Female",2.48,20,"Other","No","No","Yes","1 GENIAL MELON WILD DOG",1,"Alarm",4,16:56:04,4,48059,0,0,"Left","none"
"56","GENIAL MELON WILD DOG","Female",2.48,20,"Other","No","No","Yes","1 GENIAL MELON WILD DOG",1,"Alarm",1,16:46:50,4,48050,0,0,"Left","none"
"57","GENIAL MELON WILD DOG","Female",2.48,20,"Other","No","No","Yes","1 GENIAL MELON WILD DOG",1,"Alarm",2,17:00:38,4,48056,0,0,"Left","Right"
"58","GENIAL MELON WILD DOG","Female",2.48,20,"Other","No","No","Yes","1 GENIAL MELON WILD DOG",1,"Cries",1,17:04:24,0,19,4836,4817,"Left","Right"
"59","GENIAL MELON WILD DOG","Female",2.48,20,"Other","No","No","Yes","1 GENIAL MELON WILD DOG",1,"Cries",3,16:59:11,0,17,4686,4669,"Left","Right"
"60","GENIAL MELON WILD DOG","Male",3.12,32,"Other","No","No","No","2 GENIAL MELON WILD DOG",2,"Alarm",3,16:44:50,4,48058,0,0,"Right","none"
"61","GENIAL MELON WILD DOG","Male",3.12,32,"Other","No","No","No","2 GENIAL MELON WILD DOG",2,"Cries",4,16:49:28,2,24038,31826,7788,"Right","Left"
"62","GENIAL MELON WILD DOG","Male",3.12,32,"Other","No","No","No","2 GENIAL MELON WILD DOG",2,"Cries",2,16:52:03,3,36047,40866,4819,"Right","Left"
"63","GENIAL MELON WILD DOG","Male",3.12,32,"Other","No","No","No","2 GENIAL MELON WILD DOG",2,"Alarm",4,16:56:04,4,48059,0,0,"Right","none"
"64","GENIAL MELON WILD DOG","Male",3.12,32,"Other","No","No","No","2 GENIAL MELON WILD DOG",2,"Alarm",1,16:46:50,4,48050,0,0,"Right","none"
"65","GENIAL MELON WILD DOG","Male",3.12,32,"Other","No","No","No","2 GENIAL MELON WILD DOG",2,"Alarm",2,17:00:38,4,48056,0,0,"Right","Right"
"66","GENIAL MELON WILD DOG","Male",3.12,32,"Other","No","No","No","2 GENIAL MELON WILD DOG",2,"Cries",1,17:04:24,0,19,4836,4817,"Right","Right"
"67","GENIAL MELON WILD DOG","Male",3.12,32,"Other","No","No","No","2 GENIAL MELON WILD DOG",2,"Cries",3,16:59:11,0,17,4686,4669,"Right","Right"
"68","GLORIOUS SILVER LEMMING","Male",3.48,22,"Danish","No","No","Yes","1 GLORIOUS SILVER LEMMING",1,"Alarm",3,09:34:46,4,48048,0,0,"Left","none"
"69","GLORIOUS SILVER LEMMING","Male",3.48,22,"Danish","No","No","Yes","1 GLORIOUS SILVER LEMMING",1,"Cries",2,09:24:39,4,48049,0,0,"Left","none"
"70","GLORIOUS SILVER LEMMING","Male",3.48,22,"Danish","No","No","Yes","1 GLORIOUS SILVER LEMMING",1,"Cries",4,09:16:30,4,48047,0,0,"Left","none"
"71","GLORIOUS SILVER LEMMING","Male",3.48,22,"Danish","No","No","Yes","1 GLORIOUS SILVER LEMMING",1,"Cries",1,09:18:01,4,48047,0,0,"Left","none"
"72","GLORIOUS SILVER LEMMING","Male",3.48,22,"Danish","No","No","Yes","1 GLORIOUS SILVER LEMMING",1,"Alarm",4,09:21:14,4,48050,0,0,"Left","none"
"73","GLORIOUS SILVER LEMMING","Male",3.48,22,"Danish","No","No","Yes","1 GLORIOUS SILVER LEMMING",1,"Cries",3,09:26:58,4,48047,0,0,"Left","none"
"74","GLORIOUS SILVER LEMMING","Male",3.48,22,"Danish","No","No","Yes","1 GLORIOUS SILVER LEMMING",1,"Alarm",2,09:30:09,4,48047,0,0,"Left","none"
"75","GLORIOUS SILVER LEMMING","Male",3.48,22,"Danish","No","No","Yes","1 GLORIOUS SILVER LEMMING",1,"Alarm",1,09:31:22,4,48048,0,0,"Left","none"
"76","GLORIOUS SILVER LEMMING","Female",2.68,19,"Other","No","No","No","2 GLORIOUS SILVER LEMMING",2,"Alarm",3,09:34:46,4,48048,0,0,"Right","none"
